"date","series","value"
"2011-05-17","NG_002_MONTH",4.246
"2011-05-18","NG_001_MONTH",4.198
"2011-05-18","NG_002_MONTH",4.266
"2011-05-19","NG_001_MONTH",4.094
"2011-05-19","NG_002_MONTH",4.161
"2011-05-20","NG_001_MONTH",4.23
"2011-05-20","NG_002_MONTH",4.29
"2011-05-23","NG_001_MONTH",4.346
"2011-05-23","NG_002_MONTH",4.393
"2011-05-24","NG_001_MONTH",4.345
"2011-05-24","NG_002_MONTH",4.391
"2011-05-25","NG_001_MONTH",4.379
"2011-05-25","NG_002_MONTH",4.423
"2011-05-26","NG_001_MONTH",4.326
"2011-05-26","NG_002_MONTH",4.36
"2011-05-27","NG_001_MONTH",4.518
"2011-05-27","NG_002_MONTH",4.557
"2011-05-31","NG_001_MONTH",4.666
"2011-05-31","NG_002_MONTH",4.7
"2011-06-01","NG_001_MONTH",4.629
"2011-06-01","NG_002_MONTH",4.667
"2011-06-02","NG_001_MONTH",4.794
"2011-06-02","NG_002_MONTH",4.821
"2011-06-03","NG_001_MONTH",4.707
"2011-06-03","NG_002_MONTH",4.739
"2011-06-06","NG_001_MONTH",4.827
"2011-06-06","NG_002_MONTH",4.857
"2011-06-07","NG_001_MONTH",4.831
"2011-06-07","NG_002_MONTH",4.858
"2011-06-08","NG_001_MONTH",4.847
"2011-06-08","NG_002_MONTH",4.874
"2011-06-09","NG_001_MONTH",4.674
"2011-06-09","NG_002_MONTH",4.704
"2011-06-10","NG_001_MONTH",4.757
"2011-06-10","NG_002_MONTH",4.789
"2011-06-13","NG_001_MONTH",4.646
"2011-06-13","NG_002_MONTH",4.678
"2011-06-14","NG_001_MONTH",4.581
"2011-06-14","NG_002_MONTH",4.613
"2011-06-15","NG_001_MONTH",4.577
"2011-06-15","NG_002_MONTH",4.611
"2011-06-16","NG_001_MONTH",4.412
"2011-06-16","NG_002_MONTH",4.45
"2011-06-17","NG_001_MONTH",4.325
"2011-06-17","NG_002_MONTH",4.36
"2011-06-20","NG_001_MONTH",4.317
"2011-06-20","NG_002_MONTH",4.352
"2011-06-21","NG_001_MONTH",4.388
"2011-06-21","NG_002_MONTH",4.423
"2011-06-22","NG_001_MONTH",4.317
"2011-06-22","NG_002_MONTH",4.35
